S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.
CUB	10	9.4	9.1	8.2401021711	7.797	8.860013516	9.555305	7.394	2.836540265	3.933207455	1.92620837	2.673730435	8.02	6.3000220591	1.1683332416	7.3328	1	5	5.099264043	6.8386140921	8.7150157031
DOM	7.6	8.6	8.3	7.2390804598	6.66	4.652665818	7.319936	6.682	1.7552040062	4.2044500331	4.081916783	10	8.35	7.4228634525	2.3240301901	8.131	8.8014350692	3.4974163514	4.8799112013	2.3223627473	9.0958152933
ECU	8.5	9.4	9.2	7.376	10	8.344258105	7.997138	7.035	1.4085842092	3.4072150445	4.715783604	10	9.6407	4.181857317	1.1487250698	7.9191	1.9334775179	5.1058935665	4.5814504505	5.4881163609	9.5986960566
GAB	10	8.7	3.3	5.4614121511	5.946	4.211602699	7.578465	6	4.3604928632	3.8492908935	4.511156012	7.2902727424	9.99207	3.9508081938	5.6176267311	8.2389	1	5.9786824134	6.8787576343	1.2245642825	9.5096634188
HUN	10	10	10	7.7718579235	10	7.397413838	8.94	6.642	9.6952173968	6.493221546	4.14436696	2.5712214699	9.4625	3.4726084446	1	5.1054	5.2971666405	8.8221640712	7.5624794497	3.3453960695	1.3928068038
IRI	10	9.6	10	6.918173389	8.078	4.97799859	7.76811	5.894	5.0661699237	2.6499112243	2.764662186	3.4366858296	3.229	7.0495151858	1	3.1192	1	7.5210798167	6.0897822043	2.2150724084	9.7604945404
IRQ	9.2	7.9	7.3	5.6931762396	3.841	4.27379018	6.26783	6.2	8.0251879796	2.147074993	2.145439713	1	1.272	8.4711078908	1	6.7667	1	5	2.4814087065	2.2313016015	1
JAM	10	9.3	8	7.4222222222	6.322	4.616028247	8.267096	7.028	3.1663676938	4.8826126009	2.250742912	3.6682217461	9.3788	6.3669034004	1.5186671993	7.0559	1	7.676637352	4.7849946255	2.7803730045	1
JOR	10	9.7	9.8	7.2098765432	9.351	3	7.521164	6.117	5.8860496968	4.8280756332	2.667577266	1	1	5.354602311	1	6.9199	1	6.2179075077	3.4832275682	2.7527078309	2.6534107904
KAZ	10	9.5	9.7	6.2666666667	6.529	4.342942864	8.960338	7.01	8.0251879796	4.0330648342	3.089	1.2602798114	7.106	6.0098535822	1	1	1	3.6148846636	6.0751510871	5.8274825237	9.8087775227
