S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.	S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.	S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.	S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.
DOM	7.5	9.3	5.7	6.6	6.471725022	4.652665818	7.319936	6.6393560007	2.6713530197	4.48	4.081916783	10	8.35	7.4922747502	2.1649045325	8.1138	6.0567040189	6.7973118803	3.6193769658	1.6696016967	9.2996940922	7.1	9.5	7.9	6.7821344617	6.659947658	4.652665818	7.319936	6.7439729034	1	4.4966666667	4.081916783	10	8.35	7.5661197101	2.3270667307	7.9995	7.943455188	5.602013013	4.2362628279	2.1224797383	9.3332486308	7.6	8.6	8.3	6.8381758345	6.659947658	4.652665818	7.319936	6.7741700615	1.4863673054	4.46208791	4.081916783	10	8.35	7.4154312847	2.3318982415	8.0155	7.943455188	3.8075679955	4.4970053542	2.2638911781	9.1278263572	7.6	8.6	8.3	7.2390804598	6.66	4.652665818	7.319936	6.682	1.7552040062	4.2044500331	4.081916783	10	8.35	7.4228634525	2.3240301901	8.131	8.8014350692	3.4974163514	4.8799112013	2.3223627473	9.0958152933
ECU	10	8.6	7.2	6.9833333333	6.682667705	8.344258105	8	6.4328399694	1	3.7233333333	4.715783604	10	9.6407	4.6889133716	1.0601913647	8.1974	1.180638102	4.4465526865	3.6981490276	3.4283705603	9.1415194085	9.4	9.5	8.4	7.0945642408	10	8.344258105	8	7.0906926105	1	3.2733333333	4.715783604	10	9.6407	4.8857009322	1.0917198403	8.1463	1.5289868087	5.084792443	3.983917648	4.1478291168	9.482838784	8.5	9.4	9.2	7.1084681042	10	8.344258105	7.997138	7.0716489144	1	3.2709833366	4.715783604	10	9.6407	5.0086581287	1.4743948406	8.1136	2.1229918494	6.1864759844	4.217880695	4.2741493195	9.6599560907	8.5	9.4	9.2	7.376	10	8.344258105	7.997138	7.035	1.4085842092	3.4072150445	4.715783604	10	9.6407	4.181857317	1.1487250698	7.9191	1.9334775179	5.1058935665	4.5814504505	5.4881163609	9.5986960566
GAB	9.4	8.7	3.6	6.65	5.901462311	4.211602699	7.578465	5.7	1	4.05	4.511156012	7.29	9.99207	3.363474749	5.9249883103	8.4341	1	5.9786824134	6.09756225	1.2245642825	8.0092849545	10	8.7	3.6	6.6324237089	5.945637818	4.211602699	7.578465	5.8	1	3.9233333333	4.511156012	7.29	9.99207	3.4061591149	6.1017591889	8.5328	1	5.9786824134	6.3797346998	1.2245642825	9.4943486239	10	8.7	3.3	7.2827464789	5.945637818	4.211602699	7.578465	6.1	4.2400925337	3.7840539821	4.511156012	7.29	9.99207	4.3936750864	5.8556662476	8.3948	1	5.9786824134	6.4242704756	1.2245642825	9.3170840747	10	8.7	3.3	5.4614121511	5.946	4.211602699	7.578465	6	4.3604928632	3.8492908935	4.511156012	7.2902727424	9.99207	3.9508081938	5.6176267311	8.2389	1	5.9786824134	6.8787576343	1.2245642825	9.5096634188
HUN	10	9.9	9.5	7.4833333333	10	7.397413838	8.733944	6.6978218696	9.0483741804	6.7933333333	4.14436696	2.56	9.4385	4.9338065693	1	4.4131	5.292346953	7.8997537049	7.0508923837	4.8190899009	3.3458779729	10	10	10	7.6177946593	10	7.397413838	9.016694	6.8669946246	9.0483741804	6.5933333333	4.14436696	2.565	9.4625	3.2253882922	1	4.4517	5.1464752671	7.6420348516	7.4189573617	4.6301306831	2.2012949556	10	10	10	7.7223756906	10	7.397413838	8.988349	6.7204861351	7.8775241822	6.6261208095	4.14436696	2.57	9.4625	5.6096184692	1	4.7188	5.1621110573	7.8917836076	7.3284456417	3.6513066615	1.321189727	10	10	10	7.7718579235	10	7.397413838	8.94	6.642	9.6952173968	6.493221546	4.14436696	2.5712214699	9.4625	3.4726084446	1	5.1054	5.2971666405	8.8221640712	7.5624794497	3.3453960695	1.3928068038
IRI	10	9.3	8.4	6.2666666667	8.402376911	4.97799859	6.508071	5.8028354741	2.8083162178	3.13	2.764662186	3.435	3.476	6.6170621035	1	3.9539	1	5.3801540785	5.0884676681	2.9819727943	9.5944572723	10	9.1	8.3	6.4738609113	8.159507018	4.97799859	7.106169	6.0207012455	2.8083162178	2.7866666667	2.764662186	3.435	3.229	6.7878161311	1	3.5532	1	8.0884182082	5.6257188006	3.4826207276	9.744032113	10	9.1	8.3	6.5291127098	8.077700904	4.97799859	6.995676	5.9325437007	5.0234831844	2.8624169124	2.764662186	3.435	3.229	6.705812884	1	3.1155	1	8.0884182082	5.7982052773	3.038564175	9.6403751751	10	9.6	10	6.918173389	8.078	4.97799859	7.76811	5.894	5.0661699237	2.6499112243	2.764662186	3.4366858296	3.229	7.0495151858	1	3.1192	1	7.5210798167	6.0897822043	2.2150724084	9.7604945404
IRQ	8.81	8.1	7.87	5.0166666667	4.48650154	4.27379018	6.26783	6.1	6.0653065971	1.2533333333	2.145439713	1	1.272	8.2104161721	1	7.37	1	5	1.9704563287	1.6529888822	1	9.2	7.7	7.6	5.3822533567	3.97419547	4.27379018	6.26783	6.2	6.4403642108	1.5266666667	2.145439713	1	1.272	8.205460607	1	7.9889	1	5	2.104613059	1.7377394345	1	9.2	7.9	7.3	6.5960011675	3.841224491	4.27379018	6.26783	6.2	6.4403642108	1.7355306221	2.145439713	1	1.272	8.4410492843	1	7.6116	1	5	2.3105846712	1.8268352405	1	9.2	7.9	7.3	5.6931762396	3.841	4.27379018	6.26783	6.2	8.0251879796	2.147074993	2.145439713	1	1.272	8.4711078908	1	6.7667	1	5	2.4814087065	2.2313016015	1
JAM	9	9.3	8	7.5166666667	6.322488982	4.616028247	7.12	7.0141649009	5.0157606907	4.6833333333	2.250742912	3.67	9.3788	6.288668819	1.0943778491	6.0626	1	8.7943542071	4.4478756084	3.2546511391	1	9.1	9.3	8.3	7.5919093851	6.322488982	4.616028247	8.072435	6.9803587241	2.7803730045	4.9733333333	2.250742912	3.67	9.3788	6.3195183303	1	5.555	1	8.1726227412	4.7519798179	3.7343922694	1	10	9.4	8.3	7.4715210356	6.322488982	4.616028247	8.709583	7.0366706406	2.8787235893	4.9242679107	2.250742912	3.67	9.3788	6.0337639472	1.1579385093	5.5962	1	6.7201234134	4.7008367763	3.1981902182	1	10	9.3	8	7.4222222222	6.322	4.616028247	8.267096	7.028	3.1663676938	4.8826126009	2.250742912	3.6682217461	9.3788	6.3669034004	1.5186671993	7.0559	1	7.676637352	4.7849946255	2.7803730045	1
JOR	9.3	9.1	9.3	6.8333333333	9.314032743	3	8.030892	6.1089293656	6.3128364551	5.11	2.667577266	1	1	5.5749836185	1	6.6704	1	8.4977851685	2.6935826564	2.2663828286	1.7898676534	9.4	9.8	8.5	7.0044413277	9.26263876	3	7.986604	6.275303546	5.0661699237	5.1733333333	2.667577266	1	1	5.3877331968	1	6.6734	1	6.9999559697	3.099751888	2.6982005638	4.5513832115	10	9.6	9.8	7.0329593268	9.350756355	3	7.9452	6.0484765317	5.6364349222	5.158643032	2.667577266	1	1	5.1473518359	1	6.803	1	7.1153761357	3.3885329531	2.7422673905	3.1648488241	10	9.7	9.8	7.2098765432	9.351	3	7.521164	6.117	5.8860496968	4.8280756332	2.667577266	1	1	5.354602311	1	6.9199	1	6.2179075077	3.4832275682	2.7527078309	2.6534107904
KAZ	8.7	8.6	7.2	5.9833333333	6.198827722	4.342942864	8.887328	6.928339871	7.4081822068	3.2033333333	3.089	1.26	7.106	6.3373399818	1	1	1	1.095172186	4.6449604854	4.4485806622	9.9091340488	9.4	9.6	9.7	6.2847971238	6.529193249	4.342942864	9.186668	6.9760434523	6.7032004604	3.8466666667	3.089	1.26	7.106	5.6264261298	1	1	1	1.782081574	5.4178436002	4.8393726424	9.9092663644	10	9.5	9.7	6.1986646122	6.529193249	4.342942864	9.050807	7.0554179105	7.80967126	3.9805556287	3.089	1.26	7.106	4.9399606698	1	1	1	1.7190996503	5.5456876971	5.1814507934	9.8138723469	10	9.5	9.7	6.2666666667	6.529	4.342942864	8.960338	7.01	8.0251879796	4.0330648342	3.089	1.2602798114	7.106	6.0098535822	1	1	1	3.6148846636	6.0751510871	5.8274825237	9.8087775227
LBA	10	7.2	9.7	7.2833333333	9.548137595	4.939379555	9.27	6	6.0653065971	3.0666666667	4.145864208	1	1	6.9948121155	1	2.6365	1	5	5.6496765319	1	9.8790319813	10	9.1	9.7	7.4731774415	10	4.939379555	9.27	6	6.4403642108	3.3433333333	4.145864208	1	1	5.7716946025	1	2.7812	1	5	6.2219894667	1	9.9510683917	10	9.1	9.7	7.5169876204	10	4.939379555	9.27	6	6.4403642108	3.4562264976	4.145864208	1	1	5.6810042282	1	2.356	1	5	6.3850400667	1	9.9673324325	10	9.1	9.7	7.3909131804	10	4.939379555	9.27	6	6.4403642108	2.8116470016	4.145864208	1	1	5.4572941462	1	1.8793	1	5	3.4306701475	1	9.9510683917
LIB	10	10	9.8	6.7333333333	10	4.058144522	7.53	6.0835928336	6.3762815162	3.8433333333	2.605627877	1	7.184	5.0512432046	1	6.4256	1	2.5633528619	5.260007249	4.5384479095	1	10	10	9.8	6.8751173709	10	4.058144522	7.835166	6.0835928336	5.9452054797	3.4433333333	2.605627877	1	8.141	4.8900044784	1	6.6688	1	7.9626659242	5.7503325974	4.5384479095	1	10	10	9.8	6.8751173709	10	4.058144522	8.010399	6.0835928336	5.9452054797	3.4202361207	2.605627877	1	8.141	4.7642323242	1	6.2022	1	5.1674318382	6.3982793467	4.5384479095	1	10	10	9.8	7.0431154381	10	4.058144522	8.139842	6.083	5.9452054797	3.777890496	2.605627877	1	8.141	4.937017222	1	5.5961	1	5.7236211334	6.7263627231	4.5384479095	1
MAS	10	9.5	9.6	7.2	7.799869258	5.462812968	7.312754	6.5091364842	1.7204486382	5.52	4.148933813	6.835	9.7722	3.6605903781	1	4.1746	1	9.0087876541	5.5913954961	7.022962187	7.8804001549	10	9.9	9.4	7.3731506849	9.041449323	5.462812968	7.13	6.4421875828	1.7204486382	5.6566666667	4.148933813	6.835	9.7722	3.3535326022	1	4.0307	1	9.1947730357	6.1499498186	7.2614903707	7.9315948623	10	10	9.6	7.4020091324	9.730394259	5.462812968	7.13	6.4794109803	5.2405751137	5.5265760193	4.148933813	6.835	9.7722	3.2347084578	1	3.3088	1	9.0666375691	6.2863569134	6.9073433064	6.231779919	10	10	9.6	7.391462307	9.73	5.462812968	7.13	6.525	2.2313016015	5.6416947406	4.148933813	6.8374164572	9.7722	3.7307100208	1	3.4863	1	9.1586653439	6.7370120387	7.2614903707	6.3013456453
MEX	10	9.1	7.7	7.5666666667	6.011169508	6.142454486	7.646148	6.462127518	1	4.9933333333	3.261933691	5.135	8.419	4.1626544284	1.0357382119	6.287	3.6699100692	8.7565241247	5.9263443227	6.9809505747	8.4150272503	10	9.5	8.1	7.7558522474	5.971673173	6.142454486	7.781187	6.4408506679	1.3398867467	4.6666666667	3.261933691	5.515	8.274	4.5004771536	1	6.2324	5.1077342723	8.8708623545	6.3393595964	6.8983695943	7.8865326286	10	9.4	8.5	7.5957721406	6.267996319	6.142454486	7.99916	6.5769210245	1	4.7250540089	3.261933691	5.81	8.255	4.4020089825	1.0076042285	6.2119	3.2064439497	8.7957602724	6.1440052249	5.7960989301	7.9169324469	10	9.6	8.5	7.9067982456	6.268	6.142454486	8.090952	6.604	1	4.6009527706	3.261933691	5.9281072712	8.255	4.6557706837	1	6.1501	3.2064439497	8.6376945481	6.5037156301	5.9297680228	7.7950718899
MKD	8.9	9.3	9	7.2333333333	5.738104661	5.969461468	6.936842	6.9825302084	7.945336025	4.09	2.042866734	2.43	8.916	5.3240723603	1.009203562	5.6935	1	7.2925818789	4.2256382667	1	8.9259950297	10	10	8.9	7.3485013624	5.727359111	5.969461468	7.013783	6.9135780043	4.4932896412	4.5966666667	2.042866734	2.43	8.394	5.0816305373	1.0911100357	5.7044	1	3.9188943124	4.7595171353	1	9.5024227912	10	10	8.9	7.3485013624	5.727359111	5.969461468	7.158653	6.995947681	2.8650479686	4.8324137682	2.042866734	2.435	8.394	4.8137605883	1	5.6007	1	4.149839587	4.9929218862	1	9.3284460098	10	10	8.8	7.7112010796	5.727	5.969461468	7.128961	6.966	3.328710837	4.7889275011	2.042866734	2.4364794787	8.394	5.0249462234	1.4757571584	6.0147	5.5993008281	8.7073488162	5.260015719	1	9.1609500129
MNE	8.9	9.3	9	7.3	5.823095979	8.362826977	7.149834	6.8	6.3762815162	3.9166666667	3.383	5.715	9.7562	6.6783124476	2.4784847131	7.7719	7.0328998571	4.0722642092	4.3717078454	1	8.8830501216	10	9.8	9.1	7.3718468468	5.826259291	8.362826977	7.624843	6.9	5.9452054797	4.5733333333	3.383	5.74	9.7562	5.8693112863	2.0399711441	7.0715	7.0430882255	4.0722642092	5.1098303709	1	8.9337307393	10	9.8	9.2	7.3143693694	5.826259291	8.362826977	8.190955	7	5.2204577676	5.1449754918	3.383	5.74	9.7459	7.155324631	1.8608236365	6.9491	1	4.0722642092	5.2274923473	1	7.9761932176	10	9.8	9	7.5292792793	5.826	8.362826977	8.580736	7	7.945336025	5.1263164301	3.383	5.7376210979	9.7459	5.9285196247	3.1806618558	6.6893	1.5903583145	4.0722642092	5.6433269133	3.1663676938	7.5106026313
NAM	7.8	8	3	3.8833333333	5.410607465	4.570457038	7.091679	6.8644261897	1	5.6533333333	1	6.96	9.8309	4.0375066686	2.4965829463	8.8139	1	9.3032518143	3.3108365347	1.1191675289	9.3705614475	7.6	9.3	3.5	4.0795145631	5.406271164	4.570457038	6.942457	7.1408822513	1	5.66	1	6.96	9.8309	2.0617206892	2.4124410767	8.8384	1	9.3939420903	3.7103627845	1.1191675289	9.6084892989	8.1	9.2	3.3	5.2145631068	5.406271164	4.570457038	6.942457	7.2384339424	1	5.9719389446	1	6.96	9.8309	4.8446440341	1.9826999822	8.3863	1	9.3961497881	3.7822655993	1	9.6734315529	8.2	9.3	3.2	5.5348837209	5.406	4.570457038	6.942457	7.177	1	5.606757824	1	7.339199646	9.8309	4.4802944299	1.9741543395	8.5424	1	9.4757277513	4.1275173036	1	9.4548820029
PAN	7.4	9.1	7.2	7.7	6.242192115	9.223129506	7.949164	6.9349176178	1	5.2966666667	4.313604144	5.745	9.96948	4.2986783417	2.6822352134	7.8935	1	9.074706144	4.5277222452	3.560443419	5.8068960225	7.7	9.2	7.4	7.818161535	6.322488982	9.223129506	7.948753	7.0950541087	1	5.26	4.313604144	5.745	9.96948	3.4880005303	2.576909262	7.8136	1	9.3178780735	5.2801981224	5.0747897373	8.1250693384	8.5	9.3	6.9	7.8477019188	6.322488982	9.223129506	7.859413	7.0724530487	1	5.3768437199	4.313604144	5.745	9.96948	3.5213193779	2.8515257314	8.0605	1	9.3800039989	5.7481373755	6.0653065971	8.332252233	8.5	9.3	6.9	7.8777041943	6.322	9.223129506	7.83	7.042	1	5.1840858723	4.313604144	5.7458015356	9.96948	3.3040793177	2.2342442591	7.6124	1	8.5659163615	6.3722088137	6.5704681982	8.4643742796
PER	8.7	8.1	6.2	6.8333333333	5.758435195	8.344258105	8.234017	6.6190530655	1	4.3733333333	1.38636215	6.12	9.899	5.1868063878	2.84389586	8.9524	1	8.1553832954	3.744272512	3.8377455314	8.8492321269	8.8	8.4	7.2	7.0515021459	5.718329676	8.344258105	8.226801	6.9593489726	1	4.28	1.38636215	6.54	9.899	4.6516465195	3.1053203245	8.981	1.1504211212	7.8003834934	4.3007746807	4.3089105218	9.3097026628	8.5	8.2	6.8	7.3278493085	5.718329676	8.344258105	8.26	6.8952870915	1	4.4033775356	1.38636215	6.54	9.899	4.5679989831	2.3476213133	8.7483	1.5703761676	7.7851268448	4.6363207234	4.3227211206	9.3383024594	8.4	8.5	7.1	7.8944368445	5.718	8.344258105	8.291533	6.796	1.2003162851	4.522303024	1.38636215	6.540511566	9.899	4.2309796962	2.5168366632	8.5578	2.2333542335	7.7743362016	5.155804348	4.7236655274	9.4635263794
ROU	10	5.7	5.1	7.1833333333	6.063100484	8.150361007	7.627119	6.7971476311	6.9767632607	4.9466666667	2.138986593	2.745	9.5767	4.7763617917	1.2780526188	5.6638	1.5360754439	7.3043424393	4.924604181	4.8801945847	9.7625568316	10	8.8	7.2	7.3603319308	6.064356398	8.150361007	7.875807	6.7626141507	7.4081822068	5.23	2.138986593	3.875	9.6022	4.1143393826	1.1985864068	5.5322	2.1247323855	8.5323946217	5.6273975491	5.2660738926	9.7340738139	10	8.8	7.2	7.4930808789	6.064356398	8.150361007	8.342719	6.82580415	7.0468808972	5.3561952	2.138986593	3.875	9.6755	5.7464607979	1.3507271905	5.6862	2.2487343325	8.6817141501	5.7662318633	5.0363675246	8.9780529713	10	8.8	7.2	7.6044536272	6.064	8.150361007	8.369037	6.812	5.674136688	5.3705637007	2.138986593	3.8768945622	9.6755	4.6364784945	1.6664208832	6.4761	2.8259809411	9.0480578079	5.9245059652	4.8616850357	8.8597116285
RSA	8.6	8.7	6.7	4.05	6.198827722	8.417223185	7.99	7.125083519	1	5.78	1.198703681	3.44	7.504	6.5585201697	1.0679311505	3.0258	1	6.9491870555	4.6434019217	1	8.8841574347	10	9.3	5.9	3.4831148564	6.278878234	8.417223185	7.99	7.2322863426	1	5.8633333333	1.198703681	3.44	7.504	6.4383731604	1.098584697	3.0927	1	5.7040671048	5.1110692263	1.0830542867	9.2010459197	10	9.1	7.7	3.7872971286	6.278878234	8.417223185	7.99	7.5347256853	1	5.8148366029	1.198703681	3.44	7.504	6.5073873413	1	2.0659	1	2.9982266854	5.2155287848	1	8.686185322	10	9.1	7.9	4.7607843137	6.279	8.417223185	7.99	7.478	1	5.4741248382	1.198703681	3.4391090428	7.504	6.5900523532	1.0674178118	3.062	1	5.9695117272	5.4611120434	1	8.3745979752
SRB	8.9	9.3	9	7.3	5.447507701	8.362826977	7.78	6.8	6.3762815162	3.9166666667	3.383	2.765	9.7562	6.6783124476	1.1445552354	3.4017	1	4.0722642092	4.5125646299	1.1304153064	7.8974760821	10	9.9	9.2	7.4162112933	5.599442299	8.362826977	7.78	6.9	5.9452054797	4.2566666667	3.383	2.98	9.7562	5.8693112863	1.0228105005	3.0451	1	4.0722642092	5.0367103881	1.5259010576	8.7700998072	9.2	9.9	9.2	7.3581056466	5.768900193	8.362826977	7.839882	7	8.6297598032	4.5297811031	3.383	2.985	9.7459	6.4721744716	1	3.213	1	4.0722642092	5.1548497295	1.7552040062	7.6550602337	10	9.9	9.2	7.5442779292	5.769	8.362826977	7.851983	7	8.693582354	4.7165622106	3.383	2.9833333394	9.7459	5.606119748	1.3155992721	3.6859	1	4.0722642092	5.3523691605	1	7.1835253367
THA	8	8.5	9.9	6.6833333333	3.574783313	8.266858417	7.001954	6.8314971071	4.1065575275	4.8433333333	4.294292041	8.67	8.693	4.8675479742	1.7829718136	6.7525	1	9.1232688074	4.0302910621	8.3110428385	8.0246149156	7.8	9.8	9.6	6.9753644315	3.950921847	8.266858417	7.148503	6.9173842522	4.4485806622	4.3633333333	4.294292041	8.67	8.693	4.6950155184	1.8047412452	6.7374	1	9.3361977366	4.5011855331	8.7109869175	8.5157485559	8.4	9.8	9.6	6.7271379981	4.029857993	8.266858417	7.243289	6.9100150665	4.2906200094	4.4034876612	4.294292041	8.67	8.693	5.2309753546	1.9381451151	6.6256	1	9.1645761702	4.5869505295	8.6070797643	7.9452866911	8.4	9.6	9.6	7.0421768707	4.03	8.266858417	7.19	6.892	4.4043165451	4.3211782942	4.294292041	8.6710679657	8.693	4.9379858266	1.9658199335	6.4056	1	9.2740233489	4.9197767542	9.3426047358	8.0600865835
TKM	9.1	7.1	6.2	5.7333333333	9.772832272	4.502234549	6.3286866433	6.8	4.5840601131	1.95	1.675205586	1.495	1	5.0682507153	1	1	1	9.3813161427	2.5690759281	1	9.9785777502	9.3	9.1	8.8	5.8495726496	9.96239178	4.502234549	6.5114031261	6.9	4.5840601131	2.3166666667	1.675205586	1.495	1	4.6333333333	1	1	1	9.3813161427	3.120578435	1	9.9888206171	9.4	9.1	9.8	6.0820512821	9.756703351	4.502234549	6.6376723928	6.9	4.3955167147	2.4473790767	1.675205586	1.495	1	4.7886348064	1	1	1	9.3813161427	3.6472377626	1	9.7855982054	9.3	9.1	9.8	5.8617131063	9.757	4.502234549	6.76	6.9	4.4043165451	2.2243775861	1.675205586	1.4931551371	1	4.637023976	1	1	1	9.3813161427	4.3261417976	1	9.6834988393
TUN	10	8.2	8	7.0833333333	8.327617612	6.301877163	7.693943	6.2884002186	4.1065575275	4.8833333333	2.722309479	1	3.872	5.5684345856	1.3679442655	7.9867	3.0625126791	8.0841921892	4.0514411746	2.7803730045	7.0279358811	10	9.4	8.5	7.2117579909	10	6.301877163	7.82397	6.2945201489	4.1065575275	4.9633333333	2.722309479	1	3.872	5.8405673986	1.3407322556	7.9695	3.2553482335	7.8585204437	4.5461232746	2.8938421794	7.8568581652	10	9.4	8.5	7.2688356164	10	6.301877163	7.855795	6.2657412368	4.2035038451	4.8918194584	2.722309479	1	3.872	5.9342836429	1.3306618345	7.9157	3.5729739329	6.4121704856	4.8351241609	2.6474187084	8.2032677203	10	9.4	8.5	7.7111410602	10	6.301877163	7.8	6.255	4.3171052343	4.6378779587	2.722309479	1	3.872	6.3063444735	1.4172458878	7.9195	3.6051947784	8.5626880214	4.9491624991	1.5107180884	7.9738699077
TUR	10	9.3	8.3	7	6.591621535	5.7870108	7.242292	5.8500851168	4.1478291168	4.5866666667	3.064571328	1	8.034	5.4893912519	1.200519541	6.8453	1	7.65283167	5.4371393975	3.4673308587	7.4041466449	10	9.7	8.8	7.1311706629	6.385602444	5.7870108	7.524429	5.8530073456	2.9229257768	4.8466666667	3.064571328	1	8.169	5.1405139291	1.1131805596	6.5475	1.160677425	7.4710094232	5.9748407587	3.5901180788	8.2466140333	10	9.9	9	7.145745181	6.481764811	5.7870108	7.714946	5.8757115643	3.279152789	4.8947390825	3.064571328	1	8.169	5.3010019824	1	6.2925	1.0291537884	7.6710771868	5.8426914153	2.459074582	7.9989188374	10	10	9	7.7573260073	6.482	5.7870108	7.56	5.954	2.8650479686	4.8965040268	3.064571328	1	8.169	5.3907404805	1.1057997914	6.3502	3.2632017916	6.5950240308	6.4803987313	3.720972627	8.3072485759
VEN	8.3	8.3	6.8	7.05	10	4.052190827	7.57925	6.6642840997	1	3.0733333333	3.943383429	10	9.92653	5.0385624737	1.1310940021	4.4253	1	6.6839480075	5.1313746963	2.9399280051	9.1458982897	8.2	9.1	8.6	7.1926282051	10	4.052190827	8.234829	6.8752962695	1	2.75	3.943383429	10	9.92653	5.4107626172	1.1790258827	3.7005	1	7.4005146717	5.8397529013	4.2741493195	9.2546872086	9.2	9.1	8.6	7.1498397436	10	4.052190827	8.890408	6.8631153818	2.2911541385	2.7093270687	3.943383429	10	9.92653	4.8198950749	1.2007904567	3.9745	1	7.1645914222	5.8823706576	4.5498082672	8.2271091138	9.3	9.1	8.6	7.7115036232	10	4.052190827	8.92	6.861	2.644772613	2.4136282358	3.943383429	10	9.92653	4.3241948491	1	3.6518	1	8.5366487048	5.9511837068	4.4485806622	7.5588031794
AUS	10	10	10	8.7666666667	10	6.174320616	10	7.1634908966	4.4932896412	8.3033333333	1.082750405	6.12	9.5417	1	1	1	4.8209712927	7.39104121	9.1483967897	6.0302296404	9.8309245316	10	10	10	8.8870646766	10	6.174320616	10	7.2407010189	4.4932896412	8.2366666667	1.082750405	6.195	9.5417	1	1	1	5.0561210136	7.5029537998	9.3533991746	6.4616525191	9.7853855823	10	10	10	8.9171641791	10	6.174320616	10	7.2712548264	4.4043165451	8.304761307	1.082750405	6.235	9.5417	1	1	1	5.1237648122	7.3656956269	9.411532425	5.7166621394	9.5111042497	10	10	10	9.0303403034	10	6.174320616	10	7.291	4.4043165451	8.1824705663	1.082750405	6.2337390385	9.5417	1	1	1	5.1979860944	8.2574990191	9.5017923694	6.0049557881	9.4130782206
AUT	10	10	10	8.5666666667	10	9.510685824	8.779405	6.986004099	7.3344695622	8.2666666667	7.035322659	10	9.5296	3.9667969782	2.0986250346	1	9.8457164718	8.949910176	9.1827649339	5.9452054797	4.087424477	10	10	10	8.7024081115	10	9.510685824	8.944737	7.1525787835	7.8662786107	8.2966666667	7.035322659	10	9.5296	3.6206359337	2.2092472742	1.2354	9.859510268	9.0916932328	9.4302808791	6.4403642108	3.7577990048	10	10	10	8.7929024081	10	9.510685824	9.052964	7.0914407148	7.8116436482	8.2485116777	7.035322659	10	9.5296	2.914875881	2.5307890955	1.5281	9.8731353736	9.0989345643	9.4302849577	6.1878339181	2.3453165994	10	10	10	8.6816666667	10	9.510685824	9.13	7.165	9.0483741804	8.1264731989	7.035322659	10	9.5296	2.5447620648	2.6806044651	1.7336	9.9272637056	9.0117047347	9.5647144344	6.5704681982	2.2934533129
BEL	10	10	10	8.5166666667	10	6.630324361	9.520238	7.0782533462	7.1892373343	7.69	5.370929109	6.56	5.881	1	1	1	3.3960457664	8.9398855982	9.058356418	4.2848480606	1	10	10	10	8.6985080989	10	6.630324361	9.586386	7.1626053153	6.9073433064	7.7433333333	5.370929109	6.57	6.603	1	1	1	4.4759974126	9.0166012209	9.2839179087	4.7392793723	1	10	10	10	8.8045822677	10	6.630324361	9.604531	7.5092506875	6.8627930208	7.5192878663	5.370929109	6.58	6.603	1	1	1	4.7781955716	8.8901635238	9.2784662073	4.5384479528	1	10	10	10	8.6968553459	10	6.630324361	9.68	7.531	8.6550299457	7.6730031412	5.370929109	6.5805619916	6.603	1	1	1	5.8990626078	8.9489886868	9.3875139151	4.8553689515	1
CAN	10	10	10	8.6666666667	10	9.311026197	8.95	7.1647689386	5.7120906385	8.27	2.242836296	2.76	9.8416	1	1.5948407381	1	1.9279598777	8.5986994015	9.2460880786	5.0874925836	2.5784089367	10	10	10	8.7868168544	10	9.311026197	8.95	7.1357664022	6.1262639418	8.2866666667	2.242836296	2.85	9.8416	1	1.5675593306	1	1.8594086102	8.6493071811	9.4211385057	5.456377418	2.4533712674	10	10	10	8.8318731748	10	9.311026197	8.95	7.3720835122	6.0420232991	8.2957890857	2.242836296	2.935	9.8416	1.6171853244	1.6760622777	1	2.0741390508	8.4214979893	9.3978890345	4.3639826532	1.0484286908	10	10	10	8.8182755776	10	9.311026197	8.95	7.407	6.1262639418	8.2422451072	2.242836296	3.0872330756	9.8416	1	1.7050215453	1	2.2913031985	7.8625865825	9.514501359	4.7392793723	1.055524901
CHI	10	9.5	9.2	7.8833333333	10	5.255118927	8.114113	6.454877336	1	7.5466666667	1	6.635	9.877	1.2907892394	2.5062142154	6.4228	1	7.8925527932	6.0011045171	3.9455371037	9.9449379562	10	9.5	9.4	7.9841249465	10	5.255118927	8.262773	6.8181424766	1	7.24	1	6.635	9.877	1	2.5271473769	6.3575	1	6.8725017981	6.5369394058	4.9618819441	9.946455607	10	9.6	9.6	7.9841249465	10	5.255118927	8.476575	7.013192895	1.1575840214	7.3063043679	1	6.635	9.877	1.3978656432	2.4430664042	5.9148	1	5.7828500538	6.6466779424	3.3874759718	9.8638733785	10	9.6	9.6	8.3779193206	10	5.255118927	8.47	7.03	1	7.354877297	1	6.6349868246	9.877	1.6474607942	2.1986360799	5.9219	1	6.7050281176	7.1046326964	4.9041662208	9.8332089314
