
                    Contribuciones de las filas segun el primer cubo en el compromiso

Axis	1	2	3	4	5	6	7
"BEN"	752	3	201	0	0	0	44
"BTN"	420	32	260	49	12	36	190
"BOL"	386	226	16	45	0	302	25
"BIH"	5	98	52	73	41	4	727
"BWA"	147	433	0	9	204	15	192
"BRA"	51	157	76	522	10	90	94
"BGR"	584	54	209	39	1	72	41
"BFA"	847	0	59	2	40	37	15
"BDI"	424	334	87	27	15	61	51
"KHM"	660	1	23	177	64	27	47
"CMR"	900	40	30	0	2	8	20
"CAN"	904	24	61	6	3	1	0
"CAF"	897	19	39	9	21	7	8
"TCD"	936	14	36	8	3	3	1
"CHL"	314	165	1	389	13	10	108
"CHN"	159	274	401	28	4	1	134
"COL"	0	85	253	412	0	111	139
"COG"	960	20	1	3	3	11	3
"COD"	813	34	19	37	91	5	1
"CRI"	184	81	17	503	40	37	138
"CIV"	684	1	39	48	3	0	225
"HRV"	753	18	12	101	0	59	57
"CUB"	323	26	486	68	63	18	16
"CYP"	656	149	148	2	12	2	31
"CZE"	814	9	1	86	0	47	43
"DNK"	845	12	63	64	0	2	14
"DOM"	12	61	161	187	67	174	338
"ECU"	27	41	145	312	0	265	211
"EGY"	236	645	20	29	2	9	60
"SLV"	1	461	301	138	5	9	85
"EST"	857	74	32	21	2	13	0
"ETH"	663	57	90	153	1	16	19
"FIN"	802	17	76	83	1	2	20
"FRA"	921	1	39	13	1	1	24
"GAB"	629	8	51	121	113	36	43
"GMB"	502	28	86	228	42	19	96
"GEO"	299	55	613	1	0	23	8
"DEU"	920	77	1	2	0	0	0
"GHA"	794	58	72	30	0	1	44
"GRC"	962	21	12	3	1	1	2
"GTM"	438	4	7	410	46	46	48
"GIN"	926	6	0	9	1	25	33
"GNB"	948	9	5	20	12	0	7
"GUY"	112	187	588	2	1	11	99
"HTI"	764	54	79	7	21	53	22
"HND"	139	33	74	452	15	127	160
"HUN"	847	0	1	95	1	35	20
"ISL"	804	0	139	35	0	0	22
"IND"	364	5	46	196	13	14	362
"IDN"	117	125	0	420	7	1	329
"IRN"	121	356	402	63	22	13	22
"IRQ"	57	811	2	93	1	32	5
"IRL"	668	1	289	4	1	34	3
"ISR"	504	0	6	309	1	110	69
"ITA"	942	11	22	25	1	0	0
"JAM"	291	218	369	90	0	5	27
"JPN"	955	11	1	0	6	11	17
"JOR"	392	404	131	37	0	29	7
"KAZ"	458	187	104	213	22	14	1
"KEN"	886	29	17	8	0	7	53
"PRK"	1	73	340	274	31	238	44
"KOR"	954	5	0	18	13	1	9
"KWT"	189	347	298	92	4	55	14
"KGZ"	278	376	91	177	59	0	19
"LAO"	604	18	1	323	23	17	15
"LVA"	644	144	90	69	23	10	19
"LBN"	14	530	280	59	20	97	1
"LSO"	486	422	44	0	10	23	14
"LBR"	873	0	0	84	1	32	10
"LBY"	230	364	4	0	292	29	82
"LTU"	686	122	64	74	34	17	2
"LUX"	730	8	166	2	36	34	26
"MKD"	541	0	390	15	1	42	10
"MDG"	821	10	153	8	1	6	0
"MWI"	766	4	130	81	0	1	17
"MYS"	212	1	1	616	33	4	134
"MLI"	742	9	152	4	0	82	11
"MLT"	395	156	30	307	25	0	87
"MRT"	780	19	141	10	16	33	1
"MUS"	855	2	1	8	58	61	16
"MEX"	32	127	129	612	12	17	72
"MDA"	183	3	345	154	99	130	85
"MNG"	159	26	31	768	10	5	0
"MNE"	593	79	41	119	4	52	111
"MAR"	13	0	250	75	4	583	75
"MOZ"	888	19	64	1	1	0	27
"MMR"	361	1	481	0	57	1	99
"NAM"	440	511	5	5	7	14	18
"NPL"	726	10	47	5	2	0	211
"NLD"	910	52	34	3	0	0	1
"NZL"	705	45	139	52	2	34	23
"NIC"	593	65	117	102	57	51	15
"NER"	867	1	65	13	0	51	3
"NGA"	870	14	14	1	74	18	8
"NOR"	878	31	63	20	1	2	5
"OMN"	179	386	300	41	74	0	19
"PAK"	352	221	3	98	86	38	202
"PAN"	20	166	18	342	104	246	104
"PNG"	788	11	21	45	59	76	1
"PRY"	75	9	179	468	4	83	182
"PER"	50	234	171	192	0	163	189
"PHL"	170	0	2	42	1	679	107
"POL"	865	20	47	23	7	17	21
"PRT"	857	99	3	28	2	1	9
"QAT"	173	360	289	121	13	39	5
"ROU"	360	7	108	222	31	111	162
"RUS"	180	131	549	10	127	1	2
"RWA"	666	17	30	0	91	10	185
"SAU"	102	649	99	111	1	29	10
"SEN"	721	17	138	2	73	46	3
"SRB"	625	34	196	70	6	36	33
"SLE"	866	7	85	39	1	1	1
"SGP"	652	132	0	156	7	12	41
"SVK"	762	14	1	96	2	76	47
"SVN"	925	0	1	51	2	4	17
"ZAF"	42	548	3	160	34	0	213
"ESP"	807	3	115	28	0	44	4
"LKA"	311	2	253	184	120	79	51
"SDN"	716	72	25	0	53	52	81
"SWE"	824	9	68	74	0	2	23
"CHE"	892	28	48	3	18	9	2
"SYR"	106	861	0	14	13	3	2
"TWN"	986	2	1	3	1	6	1
"TJK"	14	507	3	255	23	26	173
"TZA"	840	4	105	46	0	4	1
"THA"	573	3	189	35	126	1	72
"TGO"	919	0	45	7	18	6	6
"TTO"	442	43	241	19	122	60	74
"TUN"	791	8	89	86	10	11	6
"TUR"	365	33	95	439	3	0	64
"TKM"	315	50	251	16	263	100	5
"UGA"	812	3	133	0	19	32	0
"UKR"	515	24	151	218	52	15	25
"ARE"	176	320	323	125	16	36	3
"GBR"	896	79	9	9	2	0	4
"USA"	620	131	0	150	3	13	83
"URY"	460	193	145	133	1	4	64
"UZB"	149	434	276	69	9	20	43
"VEN"	1	10	237	413	5	125	208
"VNM"	130	38	128	282	17	0	404
"YEM"	660	252	67	19	1	0	1
"ZMB"	720	22	6	1	39	14	198
"ZWE"	595	57	220	43	30	1	53
"ALB"	408	32	176	136	3	110	135
"DZA"	186	519	244	44	4	1	2
"AGO"	801	3	25	6	8	4	152
"ARG"	214	77	147	281	17	109	155
"ARM"	494	16	205	169	0	50	66
"AUS"	870	26	78	6	0	15	4
"AUT"	875	2	53	34	3	12	20
"AZE"	68	293	0	323	97	50	168
"BGD"	200	180	5	273	1	65	275
"BLR"	448	46	165	222	84	0	35
"BEL"	891	0	38	50	0	2	19
"BEN"	767	1	191	3	0	0	37
"BTN"	370	5	298	35	2	18	272
"BOL"	368	232	30	45	0	297	27
"BIH"	6	70	68	106	39	8	703
"BWA"	158	371	0	30	232	34	174
"BRA"	51	177	133	463	9	72	95
"BGR"	361	227	362	12	0	38	1
"BFA"	837	1	82	1	35	21	24
"BDI"	394	291	163	35	23	47	48
"KHM"	771	6	1	100	66	23	33
"CMR"	899	43	24	0	1	23	10
"CAN"	908	23	62	2	4	0	0
"CAF"	878	36	42	0	21	7	16
"TCD"	958	12	18	3	4	2	2
"CHL"	330	177	3	351	12	11	116
"CHN"	120	267	487	41	12	0	72
"COL"	3	128	223	355	1	127	163
"COG"	951	3	5	3	7	27	4
"COD"	820	31	23	35	82	8	0
"CRI"	182	94	33	482	38	28	143
"CIV"	692	3	34	68	5	1	197
"HRV"	801	8	35	75	0	43	38
"CUB"	335	54	398	49	85	50	29
"CYP"	715	91	131	4	19	12	28
"CZE"	801	15	4	99	0	36	45
"DNK"	856	21	59	54	0	2	8
"DOM"	3	84	169	267	47	133	297
"ECU"	27	33	182	264	2	268	223
"EGY"	220	677	4	37	2	12	48
"SLV"	3	478	416	52	2	2	46
"EST"	849	78	23	32	2	17	0
"ETH"	707	48	82	134	0	10	19
"FIN"	792	16	76	93	1	1	19
