
                    Contribuciones de las filas segun el primer cubo en el compromiso

Axis	1	2	3	4	5	6	7
"VNM"	376	0	399	64	1	77	82
"YEM"	36	658	11	20	26	137	111
"ZMB"	813	42	38	1	30	39	37
"ZWE"	851	0	9	19	34	35	52
"ALB"	289	27	478	59	106	2	40
"DZA"	8	482	151	247	12	26	74
"AGO"	757	0	73	51	103	5	11
"ARG"	394	117	175	43	234	33	4
"ARM"	6	69	391	396	28	0	109
"AUS"	804	90	80	8	1	7	10
"AUT"	619	128	174	58	20	0	1
"AZE"	17	114	404	208	13	65	180
"BGD"	386	35	389	27	147	1	15
"BLR"	697	150	0	11	95	35	12
"BEL"	745	2	148	2	11	70	23
"BEN"	887	17	67	5	16	2	6
"BTN"	47	296	85	542	2	21	7
"BOL"	50	128	229	289	248	38	18
"BIH"	64	3	97	0	611	185	41
"BWA"	4	99	493	150	83	65	104
"BRA"	33	427	16	361	108	24	31
"BGR"	603	3	46	3	264	65	16
"BFA"	909	20	62	2	3	0	3
"BDI"	867	20	25	27	48	12	1
"KHM"	810	23	17	10	46	40	55
"CMR"	885	5	4	44	46	5	11
"CAN"	754	91	77	0	76	1	0
"CAF"	823	86	55	0	35	0	2
"TCD"	808	92	78	4	6	5	8
"CHL"	154	338	22	367	79	2	37
"CHN"	355	2	145	38	13	361	84
"COL"	283	96	594	2	10	14	1
"COG"	610	52	59	39	1	91	148
"COD"	771	16	8	9	33	87	76
"CRI"	262	312	0	50	370	1	5
"CIV"	647	71	1	68	0	81	131
"HRV"	72	273	1	98	214	191	150
"CUB"	36	123	363	231	121	45	81
"CYP"	308	74	10	269	17	32	289
"CZE"	844	22	39	52	24	12	9
"DNK"	328	203	145	9	55	105	156
"DOM"	50	41	314	31	560	3	3
"ECU"	44	8	790	16	71	22	49
"EGY"	0	603	13	87	202	69	26
"SLV"	635	4	0	86	73	111	91
"EST"	791	64	45	36	26	15	23
"ETH"	832	42	81	0	20	16	9
"FIN"	644	41	200	112	3	0	1
"FRA"	535	107	39	1	105	213	1
"GAB"	35	239	415	26	221	24	41
"GMB"	918	16	34	29	0	2	1
"GEO"	220	0	461	2	90	66	162
"DEU"	873	8	64	12	19	4	20
"GHA"	538	167	84	183	7	0	22
"GRC"	386	51	3	24	306	32	198
"GTM"	603	36	14	58	107	60	123
"GIN"	853	76	61	0	5	1	5
"GNB"	834	58	73	0	12	9	14
"GUY"	235	77	282	223	159	5	20
"HTI"	785	8	1	80	115	10	2
"HND"	679	27	138	10	77	17	51
"HUN"	194	3	74	521	101	74	33
"ISL"	75	196	593	17	37	17	65
"IND"	230	266	352	33	1	41	76
"IDN"	445	20	188	151	167	18	11
"IRN"	381	472	0	25	8	77	36
"IRQ"	6	715	112	50	24	53	39
"IRL"	498	27	16	83	117	52	208
"ISR"	459	277	54	21	138	0	51
"ITA"	322	2	62	17	339	101	157
"JAM"	80	7	680	24	175	25	11
"JPN"	727	0	27	120	66	25	36
"JOR"	13	873	26	84	0	1	2
"KAZ"	625	35	3	128	72	94	44
"KEN"	770	66	10	11	29	57	58
"PRK"	98	110	57	394	17	125	198
"KOR"	797	70	32	2	13	49	37
"KWT"	503	275	113	6	102	0	2
"KGZ"	224	89	272	238	7	46	125
"LAO"	210	115	294	156	101	30	94
"LVA"	74	555	57	206	1	106	1
"LBN"	171	113	359	55	197	90	15
"LSO"	805	86	55	0	52	0	1
"LBR"	836	5	41	31	75	2	10
"LBY"	275	569	53	8	1	10	84
"LTU"	250	370	3	219	16	138	4
"LUX"	687	89	103	40	5	30	46
"MKD"	29	1	214	231	133	112	278
"MDG"	925	7	46	18	2	0	3
"MWI"	929	2	40	21	5	3	0
"MYS"	468	142	40	43	30	185	93
"MLI"	827	20	76	0	46	13	18
"MLT"	388	116	1	7	230	43	215
"MRT"	578	3	107	11	194	59	48
"MUS"	1	208	498	106	136	26	25
"MEX"	124	25	761	4	84	1	1
"MDA"	57	53	434	290	1	94	71
"MNG"	313	237	60	331	31	27	0
"MNE"	6	163	30	60	458	93	190
"MAR"	52	122	463	117	235	10	2
"MOZ"	904	17	28	9	2	28	13
"MMR"	520	0	28	21	407	3	20
"NAM"	148	154	589	73	4	26	6
"NPL"	817	39	8	13	17	56	50
"NLD"	769	30	83	66	28	4	20
"NZL"	462	203	159	39	39	9	90
"NIC"	645	30	57	33	40	74	122
"NER"	744	111	1	119	2	9	15
"NGA"	766	1	42	47	143	1	0
"NOR"	335	108	384	69	1	72	30
"OMN"	511	347	110	6	13	4	8
"PAK"	212	723	3	2	42	14	5
"PAN"	34	114	745	31	45	8	23
"PNG"	268	14	293	84	322	2	17
"PRY"	361	163	260	100	79	23	14
"PER"	86	118	474	224	26	1	72
"PHL"	423	0	215	76	156	45	85
"POL"	758	18	1	2	108	3	109
"PRT"	121	0	18	205	145	246	264
"QAT"	398	390	17	22	53	57	64
"ROU"	7	2	109	493	13	161	214
"RUS"	678	5	13	81	201	16	6
"RWA"	918	15	33	32	0	2	1
"SAU"	505	392	54	7	8	18	16
"SEN"	568	20	20	54	218	56	65
"SRB"	117	2	22	584	2	16	257
"SLE"	858	16	48	18	47	3	11
"SGP"	768	67	58	0	98	0	8
"SVK"	458	59	3	314	136	18	12
"SVN"	596	86	32	189	78	6	13
"ZAF"	578	13	17	195	24	161	12
"ESP"	458	52	17	37	304	63	69
"LKA"	633	16	65	88	82	40	77
"SDN"	387	463	34	82	29	4	0
"SWE"	305	208	251	4	1	207	24
"CHE"	459	103	24	271	55	87	1
"SYR"	17	640	6	21	24	156	135
"TWN"	910	8	56	6	0	9	10
"TJK"	360	168	39	248	53	42	91
"TZA"	817	65	45	23	15	16	18
"THA"	47	12	345	69	26	135	365
"TGO"	815	41	43	34	64	0	2
"TTO"	712	4	16	168	26	57	16
"TUN"	0	738	50	63	22	91	36
"TUR"	53	131	300	0	515	0	0
"TKM"	439	395	28	17	40	39	43
"UGA"	834	76	57	0	32	0	2
"UKR"	124	36	2	596	1	65	176
"ARE"	576	291	73	38	1	8	12
"GBR"	549	69	9	117	87	44	124
"USA"	896	27	63	7	7	0	0
"URY"	224	64	0	103	559	0	50
"UZB"	0	13	317	478	36	68	88
"VEN"	398	78	3	206	134	4	176
"VNM"	319	1	434	76	1	89	81
"YEM"	34	729	19	4	12	117	85
"ZMB"	806	48	39	0	23	43	41
"ZWE"	863	0	13	10	40	32	42

----------------------------------------------------------------------------------------------------


                    Contribuciones de las columnas del segundo cubo en todas las repeticiones

Axis	1	2	3	4	5	6	7
"Bd"	665	313	2	8	11	0	0
"RW"	307	667	20	6	0	0	0
"Cs"	928	58	8	5	0	0	0
"EU"	993	0	7	0	0	0	0
"ES"	863	23	22	24	1	35	32
"Gr"	999	0	1	0	0	0	0
"RE"	980	1	19	0	0	0	0
"Bd"	643	337	1	4	13	0	0
"RW"	319	655	19	6	0	0	0
"Cs"	931	49	12	8	0	0	0
"EU"	993	0	6	0	0	0	0
"ES"	661	36	286	5	0	5	7
"Gr"	999	0	1	0	0	0	0
"RE"	980	1	19	0	0	0	0
"Bd"	641	346	0	3	8	0	1
"RW"	324	653	19	4	0	0	0
"Cs"	947	43	7	2	0	1	0
"EU"	994	0	5	0	0	0	0
"ES"	17	44	912	0	20	2	3
"Gr"	999	0	1	0	0	0	0
"RE"	979	1	20	0	0	0	0
"Bd"	670	313	1	6	9	0	0
"RW"	323	653	20	3	0	0	0
"Cs"	933	52	10	5	0	0	0
"EU"	994	0	6	0	0	0	0
"ES"	896	14	6	44	27	9	4
"Gr"	999	0	1	0	0	0	0
"RE"	981	1	18	0	0	0	0
"Bd"	712	272	3	3	10	0	0
"RW"	312	667	18	3	0	0	0
"Cs"	944	49	6	1	0	0	0
"EU"	994	0	6	0	0	0	0
"ES"	926	0	4	57	0	8	3
"Gr"	999	0	1	0	0	0	0
"RE"	977	2	21	0	0	0	0
"Bd"	702	266	9	7	15	1	0
"RW"	320	659	17	4	0	0	0
"Cs"	931	56	10	3	0	0	0
"EU"	994	0	6	0	0	0	0
"ES"	921	4	26	40	0	3	6
"Gr"	999	0	1	0	0	0	0
"RE"	976	2	22	0	0	0	0
